LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1223768,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NEW YORK LEX INC,ICHIE,53 55 W 106TH ST STORE  2,MANHATTAN & COLUMBUS AVE,NEW YORK,NY,10025,829647,11/25/2009,11/1/2015,10/31/2017,NA,NA,,53 55 W 106TH ST STORE  2   NEW YORK   10025
1223854,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,JCDC LLC,FUKU EV,"163 1ST AVENUE, STORE #2",10TH & 11TH,NEW YORK,NY,10003,851849,9/16/2009,9/1/2015,8/31/2017,40.72881151,-73.98448235,"(40.72881151, -73.98448235)","163 1ST AVENUE, STORE #2   NEW YORK   10003"
1223895,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,129 LEXINGTON REST CORP,WHISKEY REBEL,129 LEXINGTON AVE,28TH & 29TH STREETS,NEW YORK,NY,10009,834109,2/10/2010,2/1/2014,1/31/2016,40.74301183,-73.98215414,"(40.74301183, -73.98215414)",129 LEXINGTON AVE   NEW YORK   10009
1224009,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BEDSTUY BLACK SWAN INC,THE BLACK SWAN,1048 BEDFORD AVE,CLIFTON PL & LAFAYETTE AVE,BROOKLYN,NY,11205,803464,4/7/2010,4/1/2014,3/31/2016,40.68910699,-73.95512703,"(40.68910699, -73.95512703)",1048 BEDFORD AVE   BROOKLYN   11205
1224037,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,THE INSPIRE COMPANY LLC,CHAI,124 N 6TH STREET,BERRY AND BEDFORD STREETS,BROOKLYN,NY,11211,855250,11/4/2009,11/1/2015,10/31/2017,40.71802064,-73.95961875,"(40.71802064, -73.95961875)",124 N 6TH STREET   BROOKLYN   11211
1224039,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BALLATO RESTAURANT CORP,BALLATO'S,55 E HOUSTON STREET,MOTT AND MULBERRY,NEW YORK,NY,10012,788705,3/12/2010,3/1/2014,2/29/2016,40.72457063,-73.99428458,"(40.72457063, -73.99428458)",55 E HOUSTON STREET   NEW YORK   10012
1224105,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,PETITEAU INC,BISTRO VENDOME,405 E 58TH STREET,"FIRST AVE, SUTTON PLACE",NEW YORK,NY,10022,788866,2/1/2010,2/5/2014,1/31/2016,40.75894882,-73.96223998,"(40.75894882, -73.96223998)",405 E 58TH STREET   NEW YORK   10022
1224126,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NEW RONG HANG RESTAURANT INC,,38 ELDRIDGE STREET,,NEW YORK,NY,10002,817258,10/13/2009,10/1/2015,9/30/2017,40.71564249,-73.99316175,"(40.71564249, -73.99316175)",38 ELDRIDGE STREET   NEW YORK   10002
1224206,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BILLIARD BALLS MANAGEMENT LLC,SLATE,54 W 21ST STREET,,NEW YORK,NY,10010,847152,9/9/2009,9/1/2015,8/31/2017,40.74095066,-73.99228612,"(40.74095066, -73.99228612)",54 W 21ST STREET   NEW YORK   10010
1224287,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,5511 AVE N INC,FRANK'S TAVERN,5511 AVENUE N,E 55TH & 56TH STREETS,BROOKLYN,NY,11234,854396,12/8/2009,12/1/2015,11/30/2017,40.61930606,-73.92194769,"(40.61930606, -73.92194769)",5511 AVENUE N   BROOKLYN   11234
1224303,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,THE YOUNG MEN'S & YOUNG WOMEN'S HEBREW ASSOCIATION,92ND STREET Y,1395 LEXINGTON AVE,91ST & 92ND STREETS,NEW YORK,NY,10128,856325,12/15/2009,12/1/2015,11/30/2017,40.78303087,-73.95289596,"(40.78303087, -73.95289596)",1395 LEXINGTON AVE   NEW YORK   10128
1224529,RESTAURANT WINE,341,RW,New York City,1,KINGS,RED HOT OF PARK SLOPE INC,RED & HOT II,349 7TH AVE,,BROOKLYN,NY,11215,829689,12/29/2009,12/1/2015,11/30/2017,40.66627405,-73.9820821,"(40.66627405, -73.9820821)",349 7TH AVE   BROOKLYN   11215
1224532,RESTAURANT WINE,341,RW,New York City,1,KINGS,L & T COURT FOOD CO INC,YAMATO RESTAURANT,168 7TH AVENUE,GARFIELD PLACE AND 1ST STREET,BROOKLYN,NY,11215,817169,10/1/2009,10/1/2015,9/30/2017,40.6718448,-73.97752597,"(40.6718448, -73.97752597)",168 7TH AVENUE   BROOKLYN   11215
1224570,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,L & J MARKETPLACE INC,FISH MARKET RESTAURANT,111 SOUTH ST,,NEW YORK,NY,10038,854526,11/13/2009,11/1/2015,10/31/2017,40.70687252,-74.00200343,"(40.70687252, -74.00200343)",111 SOUTH ST   NEW YORK   10038
1224584,RESTAURANT WINE,341,RW,New York City,1,KINGS,MI TIERRA ECUATORIANA CORP,,386 LEONARD ST,LEONARD ST AND MEEKER AVE,BROOKLYN,NY,11211,827656,1/7/2010,2/3/2015,12/31/2016,40.71807735,-73.94836027,"(40.71807735, -73.94836027)",386 LEONARD ST   BROOKLYN   11211
1224640,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,NLAM INC,MOLE MEXICAN BAR & GRILL,178 KENT AVENUE,N 4TH PLACE AND N 5TH ST,BROOKLYN,NY,11211,841601,12/28/2010,12/1/2014,11/30/2016,40.71872736,-73.96353076,"(40.71872736, -73.96353076)",178 KENT AVENUE   BROOKLYN   11211
1224806,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,WOK 88 INC,,1570 3RD AVE,,NEW YORK,NY,10128,855778,1/11/2010,1/1/2016,12/31/2017,40.7802203,-73.95302033,"(40.7802203, -73.95302033)",1570 3RD AVE   NEW YORK   10128
1224974,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,CHANCE 11 INC,,895 FULTON STREET,WASHINGTON ST AND VANDERBILT S,BROOKLYN,NY,11238,855310,11/12/2009,11/2/2015,10/31/2017,40.68367625,-73.96750505,"(40.68367625, -73.96750505)",895 FULTON STREET   BROOKLYN   11238
1224977,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,CARABEAN LLC,DOWNTOWN GALWAY HOOKER,133 7TH AVENUE S,10TH ST AND CHARLES ST,NEW YORK,NY,10014,851315,9/17/2009,9/1/2015,8/31/2017,40.73452507,-74.00218491,"(40.73452507, -74.00218491)",133 7TH AVENUE S   NEW YORK   10014
1225032,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,EAST HARLEM SMOKEHOUSE INC,HARLEY'S SMOKESHACK,355 E 116TH STREET,,NEW YORK,NY,10029,855044,11/29/2011,11/1/2015,10/31/2017,NA,NA,,355 E 116TH STREET   NEW YORK   10029
1225049,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,NEW OCEANA RESTAURANT CORP,OCEANA,120 W 49TH ST,W 49TH ST BET 6TH & 7TH,NEW YORK,NY,10020,850530,8/18/2009,8/1/2015,7/31/2017,40.75882422,-73.97997086,"(40.75882422, -73.97997086)",120 W 49TH ST   NEW YORK   10020
1225123,RESTAURANT WINE,341,RW,New York City,1,KINGS,MIMIS HUMMUS INC,,1209 CORTELYOU RD,,BROOKLYN,NY,11218,817061,10/30/2009,10/1/2015,9/30/2017,40.64012095,-73.96698919,"(40.64012095, -73.96698919)",1209 CORTELYOU RD   BROOKLYN   11218
1225129,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,GREENWICH HOTEL RESTAURANT LLC,LOCANDA VERDE,377 GREENWICH ST,,NEW YORK,NY,10013,855491,12/15/2009,12/1/2015,11/30/2017,40.71959441,-74.01013116,"(40.71959441, -74.01013116)",377 GREENWICH ST   NEW YORK   10013
1225162,RESTAURANT WINE,341,RW,New York City,1,KINGS,NANIWA JAPANESE RESTAURANT INC,,276 KINGS HGWY,W 7TH ST AND 8TH ST,BROOKLYN,NY,11223,816610,11/10/2009,9/1/2015,8/31/2017,40.60514916,-73.98036521,"(40.60514916, -73.98036521)",276 KINGS HGWY   BROOKLYN   11223
1225163,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,DELKAR INC,HANCI TURKISH CUISINE,854 10TH AVE,,NEW YORK,NY,10019,829769,12/24/2009,12/1/2015,11/30/2017,40.76851055,-73.98898086,"(40.76851055, -73.98898086)",854 10TH AVE   NEW YORK   10019
1225174,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,765 NINTH AVE REST LLC,THE CANNERY,765 9TH AVE,,NEW YORK,NY,10019,855104,11/3/2009,11/1/2015,10/31/2017,40.76425703,-73.98836174,"(40.76425703, -73.98836174)",765 9TH AVE   NEW YORK   10019
1225306,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,VINEGAR HILL NYC LLC,LUCKY DOG,303 BEDFORD AVENUE,S 1ST AND S 2ND ST,BROOKLYN,NY,11211,853925,10/28/2009,10/1/2015,9/30/2017,40.71352631,-73.96184224,"(40.71352631, -73.96184224)",303 BEDFORD AVENUE   BROOKLYN   11211
